,month,text,year
0,January,"January 1
The Internet's Domain Name System is created.
Greenland withdraws from the European Economic Community.
The first UK cellular mobile phone network is launched by Vodafone. On January 7, Cellnet launches the 2nd UK cellular network.
January 7  Japan Aerospace Exploration Agency launches Sakigake, Japan's first interplanetary spacecraft and the first deep space probe to be launched by any country other than the United States or the Soviet Union.
January 10  Sinclair C5, the world's first mass-produced velomobile, launched.
January 13  A passenger train plunges into a ravine in Ethiopia, killing 428 and injuring over 500 others in the worst railroad disaster in Africa.[1][2]
January 15  Tancredo Neves is elected president of Brazil by the Congress, ending the 21-year military rule.
January 17  British Telecom announces it is going to phase out its iconic red telephone boxes.
January 20  Ronald Reagan is privately sworn in for a second term as President of the United States.
January 21  Nine bombs explode at the Borobudur Buddhist temple in Magelang, Central Java, Indonesia, damaging nine stupas.
January 27  The Economic Cooperation Organization (ECO) is formed.
January 28  The charity single record ""We Are the World"" is recorded by USA for Africa.",1985.0
1,January,"The Internet's Domain Name System is created.
Greenland withdraws from the European Economic Community.
The first UK cellular mobile phone network is launched by Vodafone. On January 7, Cellnet launches the 2nd UK cellular network.",1985.0
2,January,"January 1
Jeff Carter, Canadian hockey player
Steven Davis, Northern Irish footballer
Juliana Harkavy, American actress
Fred the Godson, American rapper and DJ (d. 2020)
January 2
Mark Evans, British musical theatre actor, singer, dancer and choreographer
Teng Haibin, Chinese gymnast
Carla Juri, Swiss actress
Heather O'Reilly, U.S. women's national soccer player
Damien Bodie, Australian actor
Greg Toler, American football cornerback
January 3
Nicole Beharie, American actress
Leah Gibson, Canadian film actress
John David Booty, American football quarterback, USC
Linas Kleiza, Lithuanian basketball player
January 4
Kari Aalvik Grimsb, Norwegian handball player
Danielle Campo, Canadian Paralympic swimmer
Al Jefferson, American basketball player
Fernando Rees, Brazilian race car driver
Beatriz Rossell, First Lady of Puerto Rico
January 5
Michael Cuccione, Canadian child actor and activist (d. 2001)
Lopez Lomong, Sudan-born American Olympic runner
Diego Vera, Uruguayan footballer
January 6
Amalie Bruun, Danish musician and actress
Hugh Skinner, English film actor
January 7
Lewis Hamilton, British 6-Time Formula One world champion
Tiger Kirchharz, German dancer
Wayne Routledge, English footballer
January 8  Rachael Lampa, American Christian singer
January 9  Bob, Brazilian footballer
January 10  Martio Rivas, Spanish actor
January 11
Newton Faulkner, British rock musician
Rie fu, Japanese pop and rock musician
Lucy Knisley, American comic artist and musician
Aja Naomi King, American actress
January 15  Brandon Mebane, American football player
January 16
Ash Christian, American actor and film director and producer (d. 2020)
Joe Flacco, American football player
Gintaras Janueviius, Lithuanian pianist
Sidharth Malhotra, Indian actor
Rene Felice Smith, American actress
January 17
Kangin, Korean singer (Super Junior)
Simone Simons, Dutch metal singer (Epica)
January 18  Matt Hobby, American actor and comedian
January 19
Damien Chazelle, American film director and screenwriter
Benny Feilhaber, American football player[21]
Rika Ishikawa, Japanese singer and host of television and radio programs
January 20  Marina Inoue, Japanese voice actress
January 21
Aura Dione, Danish pop musician
Sasha Pivovarova, Russian model
January 22
Akira Nagata, Japanese singer (Run&Gun), actor and voice actor
Orianthi, Australian rock musician
January 23  Doutzen Kroes, Dutch supermodel
January 25
Tina Karol, Ukrainian singer
Claudia Kim, South Korean actress and model
January 26
Edwin Hodge, American actor
Rusko, British musician
January 27  Eric Radford, Canadian pair skater
January 28
J. Cole, American hip-hop musician and record producer
Tom Hopper, British actor
Andrs Kllay-Saunders, Hungarian American recording artist, songwriter and record producer
Libby Trickett, Australian swimmer
January 29
Bosh Berlin, American drummer (Living Things)
Liu Chunhong, Chinese weightlifter
Marc Gasol, Spanish basketball player
Isabel Lucas, Australian actress
January 30  Richie Porte, Australian professional cyclist (Tasmanian)
January 31  Kalomira, Greek-American singer and model",1985.0
3,January,"January 2  Gabriel Elorde, Filipino professional boxer (b. 1935)
January 4  Sir Brian Horrocks, British general (b. 1895)
January 5  Robert L. Surtees, American cinematographer (b. 1906)
January 7
Ruth Godfrey, American actress (b. 1922)
Mary Hardy, Australian actress and comedian (b. 1931)
January 11  Sir William McKell, 12th Governor-General of Australia (b. 1891)
January 13  Carol Wayne, American actress (b. 1942)
January 14
Jetta Goudal, Dutch actress (b. 1891)
Anagarika Govinda, German buddhist lama (b. 1898)
January 18  Mahmoud Mohammed Taha, Sudanese religious thinker (b. 1909)
January 19  Eric Voegelin, German-American philosopher (b. 1901)
January 20  Gillis William Long, American politician (b. 1923)
January 22
Sir Arthur Bryant, British historian (b. 1899)
Mikhail Gromov, Soviet aviator (b. 1899)
January 26  Kenny Clarke, American jazz drummer and bandleader (b. 1914)
January 29
Georges Portmann, French physician (b. 1890)
Billy Cook, Australian jockey (b. 1910)
January 31  Tatsuz Ishikawa, Japanese novelist (b. 1905)",1985.0
4,February,"February 4  The border between Gibraltar and Spain reopens for the first time since Francisco Franco closed it in 1969.
February 5  Australia cancels its involvement in U.S.-led MX missile tests.[3][full citation needed]
February 9  U.S. drug agent Kiki Camarena is kidnapped and murdered in Mexico by drug traffickers; his body is later discovered on March 5.
February 14  Lebanon hostage crisis: CNN reporter Jeremy Levin is freed from captivity in Lebanon.[4]
February 16
Israel begins withdrawing troops from Lebanon.
The ideology of Hezbollah is declared in a program issued in Beirut.
February 17  Pop rock band Tears For Fears releases the Songs from the Big Chair album, which later achieves multi-platinum status in both the UK and the US.
February 19
William J. Schroeder becomes the first artificial heart patient to leave the hospital.[5][6][7]
China Airlines Flight 006 is involved in a mid-air incident; while there are 22 minor injuries and 2 serious injuries, no one is killed.
The first episode of British soap opera EastEnders is broadcast on BBC One television; it continues to run 35 years later.
February 20  Minolta releases the Maxxum 7000, the world's first autofocus single-lens reflex camera.
February 28  The Provisional Irish Republican Army carries out a mortar attack on the Royal Ulster Constabulary police station at Newry in Northern Ireland. With nine officers dead, it is the highest loss of life for the RUC on a single day.[8][9]",1985.0
5,February,"February 2  Fontel Mines, American football player
February 4
Bashy, English recording artist and actor
Bug Hall, American actor
February 5
Vicki Chase, American porn actress
Laurence Maroney, American football player
Cristiano Ronaldo, Portuguese footballer
February 6
Kris Humphries, American basketball player
Joji Kato, Japanese speedskater
Crystal Reed, American actress
February 7
Donald Moatshe, South African musician
Tegan Moss, Canadian actress
Tina Majorino, American film and television actress
Deborah Ann Woll, American actress
February 8
Seo Min-woo, South Korean idol singer and actor (d. 2018)
Jeremy Davis, American bassist (Paramore)
Bob Morris, American singer-songwriter and guitarist (The Hush Sound)
February 9
David Gallagher, American actor
Rachel Melvin, American actress
February 10  Anette Sagen, Norwegian ski jumper
February 11
William Beckett, American singer and songwriter
Mike Richards, Canadian hockey player
February 15  Natalie Morales, American actress
February 17
Zelda Harris, American actress
Pavel Navageethan, Indian film actor
Anne Curtis-Smith, Filipina-Australian actress
February 18
Chelsea Hobbs, Canadian actress and singer
Todd Lasance, Australian actor
Lee Boyd Malvo, Jamaican serial killer
Jos van Emden, Dutch cyclist
February 19
Haylie Duff, American actress and singer
Arielle Kebbel, American model and actress
February 20  Julia Volkova, Russian singer
February 21  Larisa Bakurova, Ukrainian actress and model based in Taiwan
February 22  Hameur Bouazza, Algerian footballer
February 25
Benji Marshall, New Zealand rugby league player
Joakim Noah, American basketball player[22]
February 26
Shiloh Fernandez, American actor
Miki Fujimoto, Japanese actor and pop singer
February 27  Nicole Linkletter, American model
February 28
Fefe Dobson, Canadian pop and rock singer
Jelena Jankovi, Serbian tennis player
Diego Ribas da Cunha, Brazilian soccer player",1985.0
6,February,"February 4  Jesse Hibbs, American film director (b. 1906)
February 6  Neil McCarthy, English actor (b. 1932)
February 8
William Lyons, British automobile engineer and designer (b. 1901)
Marvin Miller, American actor (b. 1913)
February 11  Henry Hathaway, American film director (b. 1898)
February 12  Nicholas Colasanto, American actor (b. 1924)
February 18  Randolph E. Haugan, American author, editor and publisher (b. 1902)
February 20  Clarence Nash, American actor (b. 1904)
February 21
Ina Claire, American actress (b. 1893)
Louis Hayward, British actor (b. 1909)
John G. Trump, American electrical engineer, inventor, and physicist (b. 1907)
February 22
Efrem Zimbalist, Russian-American violinist (b. 1889)
Alexander Scourby, American film, television, and voice actor (b. 1913)
February 26  Tjalling Koopmans, Dutch economist, Nobel Prize laureate (b. 1910)
February 27
Henry Cabot Lodge Jr., American politician (b. 1902)
Iain Moncreiffe, Scottish genealogist and Officer of Arms (b. 1919)
J. Pat O'Malley, English actor (b. 1904)",1985.0
7,March,"February 4  The border between Gibraltar and Spain reopens for the first time since Francisco Franco closed it in 1969.
February 5  Australia cancels its involvement in U.S.-led MX missile tests.[3][full citation needed]
February 9  U.S. drug agent Kiki Camarena is kidnapped and murdered in Mexico by drug traffickers; his body is later discovered on March 5.
February 14  Lebanon hostage crisis: CNN reporter Jeremy Levin is freed from captivity in Lebanon.[4]
February 16
Israel begins withdrawing troops from Lebanon.
The ideology of Hezbollah is declared in a program issued in Beirut.
February 17  Pop rock band Tears For Fears releases the Songs from the Big Chair album, which later achieves multi-platinum status in both the UK and the US.
February 19
William J. Schroeder becomes the first artificial heart patient to leave the hospital.[5][6][7]
China Airlines Flight 006 is involved in a mid-air incident; while there are 22 minor injuries and 2 serious injuries, no one is killed.
The first episode of British soap opera EastEnders is broadcast on BBC One television; it continues to run 35 years later.
February 20  Minolta releases the Maxxum 7000, the world's first autofocus single-lens reflex camera.
February 28  The Provisional Irish Republican Army carries out a mortar attack on the Royal Ulster Constabulary police station at Newry in Northern Ireland. With nine officers dead, it is the highest loss of life for the RUC on a single day.[8][9]",1985.0
8,March,"March  The GNU Manifesto, written by Richard Stallman, is first published.
March 1  After a 12-year-long dictatorship, Julio Mara Sanguinetti is sworn in as the first democratically elected President of Uruguay.
March 3  The 8.0 Mw Algarrobo earthquake hits Santiago and Valparaso, Chile, leaving 177 dead, 2,575 injured, 142,489 houses destroyed, and approximately a million people homeless.
March 4  The U.S. FDA approves a blood test for AIDS, used hereafter to screen all U.S. blood donations.
March 8  A Beirut car bomb, planted in an attempt to assassinate Islamic cleric Sayyed Mohammad Hussein Fadlallah, kills more than 80 people and injures 200 more.
March 11
Mikhail Gorbachev becomes General Secretary of the Soviet Communist Party and de facto leader of the Soviet Union.
Mohamed Al-Fayed buys the London-based department store company Harrods.
March 15  Vice-President Jos Sarney, upon becoming vice president, assumes the duties of president of Brazil, as the new president Tancredo Neves had become severely ill the day before. Sarney would later become Brazil's first civilian president in 21 years, upon Neves' death on April 21.
March 16  Lebanon hostage crisis: Associated Press reporter Terry Anderson is taken hostage in Beirut; he is released on December 4, 1991.
March 17  Expo '85 is held in Tsukuba, Ibaraki, Japan, until September 16.
March 18  Australia's longest-running soap opera, Neighbours, debuts on Seven Network.
March 21  Canadian paraplegic athlete and activist Rick Hansen sets out on his 40,000 kilometres (25,000mi), 26-month Man in Motion tour which raises US$26million for spinal cord research and quality of life initiatives.
March 23  The Organization Commune Africaine et Malgache is dissolved.
March 24  U.S. Army military intelligence officer Arthur D. Nicholson is shot by Soviet military sergeant Aleksandr Ryabtsev at a Soviet military base in Ludwigslust, East Germany.
March 25
Emirates Airlines was founded in Dubai, United Arab Emirates.
The 57th Academy Awards were held in Los Angeles, with Amadeus winning Best Picture.",1985.0
9,March,"March 2
Reggie Bush, American football player
Patrick Makau Musyoki, Kenyan long-distance runner
March 3
Alena and Ninel Karpovich, Belarusian twin sister musical duo, members of 3+2
Sam Morrow, Northern Irish footballer
March 5  Varalaxmi Sarathkumar, Indian actress
March 6  Chad Jackson, American football player
March 7
Guy Benson, American columnist, commentator, and political pundit
Cameron Prosser, Australian swimmer
March 8  Ewa Sonnet, Polish model
March 9
Brent Burns, Canadian hockey player
Rachel Nabors, American cartoonist
March 10
Cooper Andrews, American actor
Lassana Diarra, French footballer
March 11
Paul Bissonnette, Canadian ice hockey player
Ajantha Mendis, Sri Lankan cricketer
Hakuh Sh, 69th Yokozuna
March 12
Nikolai Topor-Stanley, Australian soccer player
Stromae, Belgian musical artist
March 13  Emile Hirsch, American actor
March 14
Eva Angelina, American pornographic actress
March 15
Eva Amurri, American actress
Antti Autti, Finnish snowboarder
Curtis Davies, English football player
Kellan Lutz, American fashion model and actor
March 17  Dominic Adams, British actor and model
March 18
Krisztin Berki, Hungarian artistic gymnast
Bianca King, Filipina actress and model
March 19  E. J. Viso, Venezuelan race car driver
March 21
Ryan Callahan, American hockey player
Adrian Peterson, American football player
Sonequa Martin-Green, American actress
March 22
James Wolk, American actor
Mayola Biboko, Belgian footballer
Jakob Fuglsang, Danish cyclist
Mike Jenkins, American football player
Justin Masterson, American baseball player
Kelli Waite, Australian swimmer
March 23  Maryana Spivak, Russian actress
March 24
Haruka Ayase, Japanese actress and model
Sayaka Hirano, Japanese table tennis player
Jeremy James Kissner, American actor
March 25  Ysuke Kobayashi, Japanese voice actor
March 26
Matt Grevers, American Olympic swimmer
Jonathan Groff, American actor, singer and dancer
Keira Knightley, English actress
Francesca Marie Smith, American actress, voice actress and writer
March 27
Ram Charan, Indian film actor
Blake McIver Ewing, American singer-songwriter, actor, model and pianist
Danny Vukovi, Australian soccer player
Caroline Winberg, Swedish model
March 28  Mark Melancon, American baseball pitcher
March 29  William Chak, Hong Kong actor
March 31
Peter Porte, American actor
Apinan Kaewpila, Thai footballer (d. 2020)
Jessica Szohr, American actress",1985.0
