,year,month,text
0,1985,January,"January 1 The Internet's Domain Name System is created. Greenland withdraws from the European Economic Community. The first UK cellular mobile phone network is launched by Vodafone. On January 7, Cellnet launches the 2nd UK cellular network."
1,1985,January,"January 7  Japan Aerospace Exploration Agency launches Sakigake, Japan's first interplanetary spacecraft and the first deep space probe to be launched by any country other than the United States or the Soviet Union."
2,1985,January,"January 10  Sinclair C5, the world's first mass-produced velomobile, launched."
3,1985,January,"January 13  A passenger train plunges into a ravine in Ethiopia, killing 428 and injuring over 500 others in the worst railroad disaster in Africa.[1][2]"
4,1985,January,"January 15  Tancredo Neves is elected president of Brazil by the Congress, ending the 21-year military rule."
5,1985,January,January 17  British Telecom announces it is going to phase out its iconic red telephone boxes.
6,1985,January,January 20  Ronald Reagan is privately sworn in for a second term as President of the United States.
7,1985,January,"January 21  Nine bombs explode at the Borobudur Buddhist temple in Magelang, Central Java, Indonesia, damaging nine stupas."
8,1985,January,January 27  The Economic Cooperation Organization (ECO) is formed.
9,1985,January,"January 28  The charity single record ""We Are the World"" is recorded by USA for Africa."
10,1985,February,February 4  The border between Gibraltar and Spain reopens for the first time since Francisco Franco closed it in 1969.
11,1985,February,February 5  Australia cancels its involvement in U.S.-led MX missile tests.[3][full citation needed]
12,1985,February,February 9  U.S. drug agent Kiki Camarena is kidnapped and murdered in Mexico by drug traffickers; his body is later discovered on March 5.
13,1985,February,February 14  Lebanon hostage crisis: CNN reporter Jeremy Levin is freed from captivity in Lebanon.[4]
14,1985,February,February 16 Israel begins withdrawing troops from Lebanon. The ideology of Hezbollah is declared in a program issued in Beirut.
15,1985,February,"February 17  Pop rock band Tears For Fears releases the Songs from the Big Chair album, which later achieves multi-platinum status in both the UK and the US."
16,1985,February,"February 19 William J. Schroeder becomes the first artificial heart patient to leave the hospital.[5][6][7] China Airlines Flight 006 is involved in a mid-air incident; while there are 22 minor injuries and 2 serious injuries, no one is killed. The first episode of British soap opera EastEnders is broadcast on BBC One television; it continues to run 35 years later."
17,1985,February,"February 20  Minolta releases the Maxxum 7000, the world's first autofocus single-lens reflex camera."
18,1985,February,"February 28  The Provisional Irish Republican Army carries out a mortar attack on the Royal Ulster Constabulary police station at Newry in Northern Ireland. With nine officers dead, it is the highest loss of life for the RUC on a single day.[8][9]"
19,1985,March,"March  The GNU Manifesto, written by Richard Stallman, is first published."
20,1985,March,"March 1  After a 12-year-long dictatorship, Julio Mara Sanguinetti is sworn in as the first democratically elected President of Uruguay."
21,1985,March,"March 3  The 8.0 Mw Algarrobo earthquake hits Santiago and Valparaso, Chile, leaving 177 dead, 2,575 injured, 142,489 houses destroyed, and approximately a million people homeless."
22,1985,March,"March 4  The U.S. FDA approves a blood test for AIDS, used hereafter to screen all U.S. blood donations."
23,1985,March,"March 8  A Beirut car bomb, planted in an attempt to assassinate Islamic cleric Sayyed Mohammad Hussein Fadlallah, kills more than 80 people and injures 200 more."
24,1985,March,March 11 Mikhail Gorbachev becomes General Secretary of the Soviet Communist Party and de facto leader of the Soviet Union. Mohamed Al-Fayed buys the London-based department store company Harrods.
25,1985,March,"March 15  Vice-President Jos Sarney, upon becoming vice president, assumes the duties of president of Brazil, as the new president Tancredo Neves had become severely ill the day before. Sarney would later become Brazil's first civilian president in 21 years, upon Neves' death on April 21."
26,1985,March,"March 16  Lebanon hostage crisis: Associated Press reporter Terry Anderson is taken hostage in Beirut; he is released on December 4, 1991."
27,1985,March,"March 17  Expo '85 is held in Tsukuba, Ibaraki, Japan, until September 16."
28,1985,March,"March 18  Australia's longest-running soap opera, Neighbours, debuts on Seven Network."
29,1985,March,"March 21  Canadian paraplegic athlete and activist Rick Hansen sets out on his 40,000 kilometres (25,000mi), 26-month Man in Motion tour which raises US$26million for spinal cord research and quality of life initiatives."
30,1985,March,March 23  The Organization Commune Africaine et Malgache is dissolved.
31,1985,March,"March 24  U.S. Army military intelligence officer Arthur D. Nicholson is shot by Soviet military sergeant Aleksandr Ryabtsev at a Soviet military base in Ludwigslust, East Germany."
32,1985,March,"March 25 Emirates Airlines was founded in Dubai, United Arab Emirates. The 57th Academy Awards were held in Los Angeles, with Amadeus winning Best Picture."
33,1985,April,"SovietAfghan War: The Soviet Union begins to transfer the burden of fighting the mujahideen to the armed forces of the Democratic Republic of Afghanistan, an origin of the Revolutions of 1989."
34,1985,April,"Cincinnati, OH-based Procter & Gamble ditches the moon & stars symbol from its packaging."
35,1985,April,"April 1 Telegraph and Telephone Public Corporation, and Japan Tobacco and Salt Public Corporation, are privatized and change their names to Nippon Telegraph and Telephone, and Japan Tobacco. Eighth seeded Villanova Wildcats men's basketball defeats national powerhouse Georgetown 6664 to win the first 64 team field NCAA Tournament in Lexington, Kentucky."
36,1985,April,"April 11 The USS Coral Sea collides with the Ecuadorian tanker ship Napo off the coast of Cuba. First Secretary Enver Hoxha, leader of the People's Socialist Republic of Albania, dies at age 76."
37,1985,April,"April 12  El Descanso bombing: A terrorist bombing attributed to the Islamic Jihad Organization in the El Descanso restaurant near Madrid, Spain, mostly attended by U.S. personnel from the Torrejn Air Base, causes 18 deaths (all Spaniards) and 82 injuries."
38,1985,April,April 15  South Africa ends its ban on interracial marriages.
39,1985,April,"April 19 The Soviet Union performs a nuclear weapon test in eastern Kazakhstan. A 4-day siege of white supremacist group The Covenant, The Sword, and the Arm of the Lord begins in Arkansas."
40,1985,April,April 23  Coca-Cola changes its formula and releases New Coke. The response is overwhelmingly negative and the original formula is back on the market in less than three months.
41,1985,April,April 28  The Australian Nuclear Disarmament Party (NDP) splits.
42,1985,May,"May 1  Soekarno-Hatta International Airport officially opens, becoming the new international gateway into Indonesia."
43,1985,May,"May 4  The 30th Eurovision Song Contest takes place in Gothenburg, Sweden and is won by the Bobbysocks! song La det swinge for Norway."
44,1985,May,"May 5  U.S. President Ronald Reagan joins West German Chancellor Helmut Kohl for a controversial funeral service at a cemetery in Bitburg, West Germany, which includes the graves of 59 elite S.S. troops from World War II."
45,1985,May,"May 9  The 3rd total Victory Day Parade (the first being in 1945 and the next in 1965) is held on Red Square in Moscow in the Soviet Union. It features T-34-85 tanks, veterans of World War II from Poland, Czechoslovakia and the Soviet Union, and is the first parade to be held during the reign of Mikhail Gorbachev."
46,1985,May,"May 11 The FBI brings charges against the suspected heads of the five Mafia families in New York City. Bradford City stadium fire: A fire engulfs a wooden stand at the Valley Parade stadium in Bradford, England, during an Association football match, killing 56 people."
47,1985,May,"May 13 Philadelphia Mayor Wilson Goode orders police to storm the radical group MOVE's headquarters to end a stand-off. The police drop an explosive device into the headquarters, killing 11 MOVE members and destroying the homes of 61 city residents. The National Assembly of Kuwait grants women the right to vote. The right is later revoked in 1999 and then re-instated in 2005."
48,1985,May,"May 15 An explosive device sent by the Unabomber injures John Hauser at University of California, Berkeley. In a later incidient that occurs on June 13, the police of Auburn, Washington defuse another Unabomber bomb sent to Boeing. Argentinian President Ral Alfonsn terminates Argentinian administration of the Falkland Islands but does not relinquish Argentina's claim to the islands."
49,1985,May,May 16  Scientists of the British Antarctic Survey announce the discovery of the ozone hole.[10][11][12]
50,1985,May,May 19  John Anthony Walker Jr. is arrested by the FBI for passing classified naval communications to the Soviet Union.
51,1985,May,May 23  Thomas Patrick Cavanaugh is sentenced to life in prison for attempting to sell stealth bomber secrets to the Soviet Union.
52,1985,May,"May 25  Approximately 10,000 people are killed when Bangladesh is affected by the storm surge from Tropical Storm One (1B)."
53,1985,May,May 26  Young driver Danny Sullivan beats veteran Mario Andretti to win the 1985 Indianapolis 500.[13]
54,1985,May,"May 29  Heysel Stadium disaster: Thirty-eight spectators are killed in rioting on the terraces during the European Cup final between Liverpool F.C. and Juventus at Heysel Stadium in Brussels, Belgium."
55,1985,May,"May 31  Forty-four tornadoes hit Ohio, Pennsylvania, New York and Ontario, including a rare powerful F5. In total, the event killed 90 people."
56,1985,June,"June 6  The remains of Josef Mengele, the physician notorious for Nazi human experimentation on inmates of Auschwitz concentration camp, buried in 1979 under the name of Wolfgang Gerhard, are exhumed in Embu das Artes, Brazil."
57,1985,June,"June 14 TWA Flight 847, carrying 153 passengers from Athens to Rome, is hijacked by a Hezbollah fringe group. One passenger, U.S. Navy Petty Officer Robert Stethem, is killed. Greek police arrest a 65-year-old Lebanese suspect on September 21, 2019.[14] The Schengen Agreement is signed between certain member states of the European Economic Community, creating the Schengen Area, a bloc of (at this time) 5 states with no internal border controls."
58,1985,June,"June 15  Studio Ghibli, an animation studio, is founded in Tokyo."
59,1985,June,June 17  John Hendricks launches the Discovery Channel in the United States.
60,1985,June,June 20  1985 Nepal bombings: A series of bomb blasts occurs in Kathmandu and other cities of Nepal.
61,1985,June,"June 22  British and Irish police foil a ""mainland bombing campaign"" sponsored by the Provisional Irish Republican Army which targets luxury vacation resorts."
62,1985,June,"June 23  Air India Flight 182, a Boeing 747, is blown up by a terrorist bomb 31,000 feet (9,500 m) above the Atlantic Ocean, south of Ireland, on a MontrealLondonDelhi flight, killing all 329 aboard."
63,1985,June,"June 24  STS-51-G: Space Shuttle Discovery completes its mission, best remembered for having Sultan bin Salman Al Saud, the first Arab and first Muslim in space, as a payload specialist."
64,1985,June,June 27  The iconic U.S. Route 66 is officially decommissioned.
65,1985,July,July 1  The Convention on the Transfer of Sentenced Persons enters into force.
66,1985,July,July 3  Back to the Future opens in American movie theatres and ends up being the highest-grossing film of 1985 in the US and the first film in the successful franchise.
